Date,Price,Open,High,Low,Vol.,Change %
2018-01-22,"2,832.97","2,809.16","2,833.03","2,808.12",-,0.0081
2018-01-19,"2,810.30","2,802.60","2,810.33","2,798.08",-,0.0044
2018-01-18,"2,798.03","2,802.40","2,805.83","2,792.56",-,-0.0016
2018-01-17,"2,802.56","2,784.99","2,807.04","2,778.38",-,0.0094
2018-01-16,"2,776.42","2,798.96","2,807.54","2,768.64",-,-0.0035
2018-01-12,"2,786.24","2,770.18","2,787.85","2,769.64",-,0.0067
2018-01-11,"2,767.56","2,752.97","2,767.56","2,752.78",-,0.007
2018-01-10,"2,748.23","2,745.55","2,750.80","2,736.06",-,-0.0011
2018-01-09,"2,751.29","2,751.15","2,759.14","2,747.86",-,0.0013
2018-01-08,"2,747.71","2,742.67","2,748.51","2,737.60",-,0.0017
2018-01-05,"2,743.15","2,731.33","2,743.45","2,727.92",-,0.007
2018-01-04,"2,723.99","2,719.31","2,729.29","2,719.07",-,0.004
2018-01-03,"2,713.06","2,697.85","2,714.37","2,697.77",-,0.0064
2018-01-02,"2,695.81","2,683.73","2,695.89","2,682.36",-,0.0083
2017-12-29,"2,673.61","2,689.15","2,692.12","2,673.61",-,-0.0052
2017-12-28,"2,687.54","2,686.10","2,687.66","2,682.69",-,0.0018
2017-12-27,"2,682.62","2,682.10","2,685.64","2,678.91",-,0.0008
2017-12-26,"2,680.50","2,679.09","2,682.74","2,677.96",-,-0.0011
2017-12-22,"2,683.34","2,684.22","2,685.35","2,678.13",-,-0.0005
2017-12-21,"2,684.57","2,683.02","2,692.64","2,682.40",-,0.002
2017-12-20,"2,679.25","2,688.18","2,691.01","2,676.11",-,-0.0008
2017-12-19,"2,681.47","2,692.71","2,694.44","2,680.74",-,-0.0032
2017-12-18,"2,690.16","2,685.92","2,694.97","2,685.92",-,0.0054
2017-12-15,"2,675.81","2,660.63","2,679.63","2,659.14",-,0.009
2017-12-14,"2,652.01","2,665.87","2,668.09","2,652.01",-,-0.0041
2017-12-13,"2,662.85","2,667.59","2,671.88","2,662.85",-,-0.0005
2017-12-12,"2,664.11","2,661.73","2,669.72","2,659.78",-,0.0015
2017-12-11,"2,659.99","2,652.19","2,660.33","2,651.47",-,0.0032
2017-12-08,"2,651.50","2,646.21","2,651.65","2,644.10",-,0.0055
2017-12-07,"2,636.98","2,628.38","2,640.99","2,626.53",-,0.0029
2017-12-06,"2,629.27","2,626.24","2,634.41","2,624.75",-,-0.0001
2017-12-05,"2,629.57","2,639.78","2,648.72","2,627.73",-,-0.0037
2017-12-04,"2,639.44","2,657.19","2,665.19","2,639.03",-,-0.0011
2017-12-01,"2,642.22","2,645.10","2,650.62","2,605.52",-,-0.002
2017-11-30,"2,647.58","2,633.93","2,657.74","2,633.93",-,0.0082
2017-11-29,"2,626.07","2,627.82","2,634.89","2,620.32",-,-0.0004
2017-11-28,"2,627.04","2,605.94","2,627.69","2,605.44",-,0.0098
2017-11-27,"2,601.42","2,602.66","2,606.41","2,598.87",-,-0.0004
2017-11-24,"2,602.42","2,600.42","2,604.21","2,600.42",-,0.0021
2017-11-22,"2,597.08","2,600.31","2,600.94","2,595.23",-,-0.0008
2017-11-21,"2,599.03","2,589.17","2,601.19","2,589.17",-,0.0065
2017-11-20,"2,582.14","2,579.49","2,584.64","2,578.24",-,0.0013
2017-11-17,"2,578.85","2,582.94","2,583.96","2,577.62",-,-0.0026
2017-11-16,"2,585.64","2,572.95","2,590.09","2,572.95",-,0.0082
2017-11-15,"2,564.62","2,569.45","2,572.84","2,557.45",-,-0.0055
2017-11-14,"2,578.87","2,577.75","2,579.66","2,566.56",-,-0.0023
2017-11-13,"2,584.84","2,576.53","2,587.66","2,574.48",-,0.001
2017-11-10,"2,582.30","2,580.18","2,583.81","2,575.57",-,-0.0009
2017-11-09,"2,584.62","2,584.00","2,586.50","2,566.33",-,-0.0038
2017-11-08,"2,594.38","2,588.71","2,595.47","2,585.02",-,0.0014
2017-11-07,"2,590.64","2,592.11","2,597.02","2,584.35",-,-0.0002
2017-11-06,"2,591.13","2,587.47","2,593.38","2,585.66",-,0.0013
2017-11-03,"2,587.84","2,581.93","2,588.42","2,576.77",-,0.0031
2017-11-02,"2,579.85","2,579.46","2,581.11","2,566.17",-,0.0002
2017-11-01,"2,579.36","2,583.21","2,588.40","2,574.92",-,0.0016
2017-10-31,"2,575.26","2,575.99","2,578.29","2,572.15",-,0.0009
2017-10-30,"2,572.83","2,577.75","2,580.03","2,568.25",-,-0.0032
2017-10-27,"2,581.07","2,570.26","2,582.98","2,565.94",-,0.0081
2017-10-26,"2,560.40","2,560.08","2,567.07","2,559.80",-,0.0013
2017-10-25,"2,557.15","2,566.52","2,567.40","2,544.00",-,-0.0047
2017-10-24,"2,569.13","2,568.66","2,572.18","2,565.58",-,0.0016
2017-10-23,"2,564.98","2,578.08","2,578.29","2,564.33",-,-0.004
2017-10-20,"2,575.21","2,567.56","2,575.44","2,567.56",-,0.0051
2017-10-19,"2,562.10","2,553.39","2,562.36","2,547.92",-,0.0003
2017-10-18,"2,561.26","2,562.87","2,564.11","2,559.67",-,0.0007
2017-10-17,"2,559.36","2,557.17","2,559.71","2,554.69",-,0.0007
2017-10-16,"2,557.64","2,555.57","2,559.47","2,552.64",-,0.0018
2017-10-13,"2,553.17","2,555.66","2,557.65","2,552.09",-,0.0009
2017-10-12,"2,550.93","2,552.88","2,555.33","2,548.31",-,-0.0017
2017-10-11,"2,555.24","2,550.62","2,555.24","2,547.95",-,0.0018
2017-10-10,"2,550.64","2,549.99","2,555.23","2,544.86",-,0.0023
2017-10-09,"2,544.73","2,551.39","2,551.82","2,541.60",-,-0.0018
2017-10-06,"2,549.33","2,547.44","2,549.41","2,543.79",-,-0.0011
2017-10-05,"2,552.07","2,540.86","2,552.51","2,540.02",-,0.0056
2017-10-04,"2,537.74","2,533.48","2,540.53","2,531.80",-,0.0012
2017-10-03,"2,534.58","2,530.34","2,535.13","2,528.85",-,0.0022
2017-10-02,"2,529.12","2,521.20","2,529.23","2,520.40",-,0.0039
2017-09-29,"2,519.36","2,509.96","2,519.44","2,507.99",-,0.0037
2017-09-28,"2,510.06","2,503.41","2,510.81","2,502.93",-,0.0012
2017-09-27,"2,507.04","2,503.30","2,511.75","2,495.91",-,0.0041
2017-09-26,"2,496.84","2,501.04","2,503.51","2,495.12",-,0.0001
2017-09-25,"2,496.66","2,499.39","2,502.54","2,488.03",-,-0.0022
2017-09-22,"2,502.22","2,497.26","2,503.47","2,496.54",-,0.0006
2017-09-21,"2,500.60","2,507.16","2,507.16","2,499.00",-,-0.003
2017-09-20,"2,508.24","2,506.84","2,508.85","2,496.67",-,0.0006
2017-09-19,"2,506.65","2,506.29","2,507.84","2,503.19",-,0.0011
2017-09-18,"2,503.87","2,502.51","2,508.32","2,499.92",-,0.0015
2017-09-15,"2,500.23","2,495.67","2,500.23","2,493.16",-,0.0018
2017-09-14,"2,495.62","2,494.56","2,498.43","2,491.35",-,-0.0011
2017-09-13,"2,498.37","2,493.89","2,498.37","2,492.14",-,0.0008
2017-09-12,"2,496.48","2,491.94","2,496.77","2,490.37",-,0.0034
2017-09-11,"2,488.11","2,474.52","2,488.95","2,474.52",-,0.0108
2017-09-08,"2,461.43","2,462.25","2,467.11","2,459.40",-,-0.0015
2017-09-07,"2,465.10","2,468.06","2,468.62","2,460.29",-,-0.0002
2017-09-06,"2,465.54","2,463.83","2,469.64","2,459.20",-,0.0031
2017-09-05,"2,457.85","2,470.35","2,471.97","2,446.55",-,-0.0076
2017-09-01,"2,476.55","2,474.42","2,480.38","2,473.85",-,0.002
2017-08-31,"2,471.65","2,462.65","2,475.01","2,462.65",-,0.0057
2017-08-30,"2,457.59","2,446.06","2,460.31","2,443.77",-,0.0046
2017-08-29,"2,446.30","2,431.94","2,449.19","2,428.20",-,0.0008
2017-08-28,"2,444.24","2,447.35","2,449.12","2,439.03",-,0.0005
2017-08-25,"2,443.05","2,444.72","2,453.96","2,442.22",-,0.0017
2017-08-24,"2,438.97","2,447.91","2,450.39","2,436.19",-,-0.0021
2017-08-23,"2,444.04","2,444.88","2,448.91","2,441.42",-,-0.0035
2017-08-22,"2,452.51","2,433.75","2,454.77","2,433.67",-,0.0099
2017-08-21,"2,428.37","2,425.50","2,430.58","2,417.35",-,0.0012
2017-08-18,"2,425.55","2,427.64","2,440.27","2,420.69",-,-0.0018
2017-08-17,"2,430.01","2,462.95","2,465.02","2,430.01",-,-0.0154
2017-08-16,"2,468.11","2,468.63","2,474.93","2,463.86",-,0.0014
2017-08-15,"2,464.61","2,468.66","2,468.90","2,461.61",-,-0.0005
2017-08-14,"2,465.84","2,454.96","2,468.22","2,454.96",-,0.01
2017-08-11,"2,441.32","2,441.04","2,448.09","2,437.85",-,0.0013
2017-08-10,"2,438.21","2,465.38","2,465.38","2,437.75",-,-0.0145
2017-08-09,"2,474.02","2,465.35","2,474.41","2,462.08",-,-0.0004
2017-08-08,"2,474.92","2,478.35","2,490.87","2,470.32",-,-0.0024
2017-08-07,"2,480.91","2,477.14","2,480.95","2,475.88",-,0.0016
2017-08-04,"2,476.83","2,476.88","2,480.00","2,472.08",-,0.0019
2017-08-03,"2,472.16","2,476.03","2,476.03","2,468.85",-,-0.0022
2017-08-02,"2,477.57","2,480.38","2,480.38","2,466.48",-,0.0005
2017-08-01,"2,476.35","2,477.10","2,478.51","2,471.14",-,0.0024
2017-07-31,"2,470.30","2,475.94","2,477.96","2,468.53",-,-0.0007
2017-07-28,"2,472.10","2,469.12","2,473.53","2,464.66",-,-0.0013
2017-07-27,"2,475.42","2,482.76","2,484.04","2,459.93",-,-0.001
2017-07-26,"2,477.83","2,479.97","2,481.69","2,474.94",-,0.0003
2017-07-25,"2,477.13","2,477.88","2,481.24","2,474.91",-,0.0029
2017-07-24,"2,469.91","2,472.04","2,473.10","2,466.32",-,-0.0011
2017-07-21,"2,472.54","2,467.40","2,472.54","2,465.06",-,-0.0004
2017-07-20,"2,473.45","2,475.56","2,477.62","2,468.43",-,-0.0002
2017-07-19,"2,473.83","2,463.85","2,473.83","2,463.85",-,0.0054
2017-07-18,"2,460.61","2,455.88","2,460.92","2,450.34",-,0.0006
2017-07-17,"2,459.14","2,459.50","2,462.82","2,457.16",-,-0.0001
2017-07-14,"2,459.27","2,449.16","2,463.54","2,446.69",-,0.0047
2017-07-13,"2,447.83","2,444.99","2,449.32","2,441.69",-,0.0019
2017-07-12,"2,443.25","2,435.75","2,445.76","2,435.75",-,0.0073
2017-07-11,"2,425.53","2,427.35","2,429.30","2,412.79",-,-0.0008
2017-07-10,"2,427.43","2,424.51","2,432.00","2,422.27",-,0.0009
2017-07-07,"2,425.18","2,413.52","2,426.92","2,413.52",-,0.0064
2017-07-06,"2,409.75","2,423.44","2,424.28","2,407.70",-,-0.0094
2017-07-05,"2,432.54","2,430.78","2,434.90","2,422.05",-,0.0015
2017-07-03,"2,429.01","2,431.39","2,439.17","2,428.69",-,0.0023
2017-06-30,"2,423.41","2,429.20","2,432.71","2,421.65",-,0.0015
2017-06-29,"2,419.70","2,442.38","2,442.73","2,405.70",-,-0.0086
2017-06-28,"2,440.69","2,428.70","2,442.97","2,428.02",-,0.0088
2017-06-27,"2,419.38","2,436.34","2,440.15","2,419.38",-,-0.0081
2017-06-26,"2,439.07","2,443.32","2,450.42","2,437.03",-,0.0003
2017-06-23,"2,438.30","2,434.65","2,441.40","2,431.11",-,0.0016
2017-06-22,"2,434.50","2,437.40","2,441.62","2,433.27",-,-0.0005
2017-06-21,"2,435.61","2,439.31","2,442.23","2,430.74",-,-0.0006
2017-06-20,"2,437.03","2,450.66","2,450.66","2,436.60",-,-0.0067
2017-06-19,"2,453.46","2,442.55","2,453.82","2,441.79",-,0.0083
2017-06-16,"2,433.15","2,431.24","2,433.15","2,422.88",-,0.0003
2017-06-15,"2,432.46","2,424.14","2,433.95","2,418.53",-,-0.0022
2017-06-14,"2,437.92","2,443.75","2,443.75","2,428.34",-,-0.001
2017-06-13,"2,440.35","2,434.15","2,441.49","2,431.28",-,0.0045
2017-06-12,"2,429.39","2,425.88","2,430.38","2,419.97",-,-0.001
2017-06-09,"2,431.77","2,436.39","2,446.20","2,415.70",-,-0.0008
2017-06-08,"2,433.79","2,434.27","2,439.27","2,427.94",-,0.0003
2017-06-07,"2,433.14","2,432.03","2,435.28","2,424.75",-,0.0016
2017-06-06,"2,429.33","2,431.92","2,436.21","2,428.12",-,-0.0028
2017-06-05,"2,436.10","2,437.83","2,439.55","2,434.32",-,-0.0012
2017-06-02,"2,439.07","2,431.28","2,440.23","2,427.71",-,0.0037
2017-06-01,"2,430.06","2,415.65","2,430.06","2,413.54",-,0.0076
2017-05-31,"2,411.80","2,415.63","2,415.99","2,403.59",-,-0.0005
2017-05-30,"2,412.91","2,411.67","2,415.26","2,409.43",-,-0.0012
2017-05-26,"2,415.82","2,414.50","2,416.68","2,412.20",-,0.0003
2017-05-25,"2,415.07","2,409.54","2,418.71","2,408.01",-,0.0044
2017-05-24,"2,404.39","2,401.41","2,405.58","2,397.99",-,0.0025
2017-05-23,"2,398.42","2,397.04","2,400.85","2,393.88",-,0.0018
2017-05-22,"2,394.02","2,387.21","2,395.46","2,386.92",-,0.0052
2017-05-19,"2,381.73","2,371.37","2,389.06","2,370.43",-,0.0068
2017-05-18,"2,365.72","2,354.69","2,375.74","2,352.72",-,0.0037
2017-05-17,"2,357.03","2,382.95","2,384.87","2,356.21",-,-0.0182
2017-05-16,"2,400.67","2,404.55","2,405.77","2,396.05",-,-0.0007
2017-05-15,"2,402.32","2,393.98","2,404.05","2,393.94",-,0.0048
2017-05-12,"2,390.90","2,392.44","2,392.44","2,387.19",-,-0.0015
2017-05-11,"2,394.44","2,394.84","2,395.72","2,381.74",-,-0.0022
2017-05-10,"2,399.63","2,396.79","2,399.74","2,392.79",-,0.0011
2017-05-09,"2,396.92","2,401.58","2,403.87","2,392.44",-,-0.001
2017-05-08,"2,399.38","2,399.94","2,401.36","2,393.92",-,0
2017-05-05,"2,399.29","2,392.37","2,399.29","2,389.38",-,0.0041
2017-05-04,"2,389.52","2,389.79","2,391.43","2,380.35",-,0.0006
2017-05-03,"2,388.13","2,386.50","2,389.82","2,379.75",-,-0.0013
2017-05-02,"2,391.17","2,391.05","2,392.93","2,385.82",-,0.0012
2017-05-01,"2,388.33","2,388.50","2,394.49","2,384.83",-,0.0017
2017-04-28,"2,384.20","2,393.68","2,393.68","2,382.36",-,-0.0019
2017-04-27,"2,388.77","2,389.70","2,392.10","2,382.68",-,0.0006
2017-04-26,"2,387.45","2,388.98","2,398.16","2,386.76",-,-0.0005
2017-04-25,"2,388.61","2,381.51","2,392.48","2,381.15",-,0.0061
2017-04-24,"2,374.15","2,370.33","2,376.98","2,369.19",-,0.0108
2017-04-21,"2,348.69","2,354.74","2,356.18","2,344.51",-,-0.003
2017-04-20,"2,355.84","2,342.69","2,361.37","2,340.91",-,0.0076
2017-04-19,"2,338.17","2,346.79","2,352.63","2,335.05",-,-0.0017
2017-04-18,"2,342.19","2,342.53","2,348.35","2,334.54",-,-0.0029
2017-04-17,"2,349.01","2,332.62","2,349.14","2,332.51",-,0.0086
2017-04-13,"2,328.95","2,341.98","2,348.26","2,328.95",-,-0.0068
2017-04-12,"2,344.93","2,352.15","2,352.72","2,341.18",-,-0.0038
2017-04-11,"2,353.78","2,353.92","2,355.22","2,337.25",-,-0.0014
2017-04-10,"2,357.16","2,357.16","2,366.37","2,351.50",-,0.0007
2017-04-07,"2,355.54","2,356.59","2,363.76","2,350.74",-,-0.0008
2017-04-06,"2,357.49","2,353.79","2,364.16","2,348.90",-,0.0019
2017-04-05,"2,352.95","2,366.59","2,378.36","2,350.52",-,-0.0031
2017-04-04,"2,360.16","2,354.76","2,360.53","2,350.72",-,0.0006
2017-04-03,"2,358.84","2,362.34","2,365.87","2,344.73",-,-0.0016
2017-03-31,"2,362.72","2,364.82","2,370.35","2,362.60",-,-0.0023
2017-03-30,"2,368.06","2,361.31","2,370.42","2,358.58",-,0.0029
2017-03-29,"2,361.13","2,356.54","2,363.36","2,352.94",-,0.0011
2017-03-28,"2,358.57","2,339.79","2,363.78","2,337.63",-,0.0073
2017-03-27,"2,341.59","2,329.11","2,344.90","2,322.25",-,-0.001
2017-03-24,"2,343.98","2,350.42","2,356.22","2,335.74",-,-0.0008
2017-03-23,"2,345.96","2,345.97","2,358.92","2,342.13",-,-0.0011
2017-03-22,"2,348.45","2,343.00","2,351.81","2,336.45",-,0.0019
2017-03-21,"2,344.02","2,379.32","2,381.93","2,341.90",-,-0.0124
2017-03-20,"2,373.47","2,378.24","2,379.55","2,369.66",-,-0.002
2017-03-17,"2,378.25","2,383.71","2,385.71","2,377.64",-,-0.0013
2017-03-16,"2,381.38","2,387.71","2,388.10","2,377.18",-,-0.0016
